caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2829597,1,14,,1,7,0,0,1,0,2,1,1,1,4,13,2,14,,,2,1,,,,,
2829606,1,9,3,2,1,0,0,1,0,2,2,1,1,4,11,1,93,,4,1,1,6,6,1,3,3
2829626,1,16,,1,1,0,0,1,0,2,2,1,1,3,10,2,75,,,2,0,,,,,
2829623,1,3,,3,1,1,0,1,0,3,1,3,1,4,,2,,,,1,1,,,,,
2829637,1,13,,2,1,0,1,0,0,2,3,1,1,2,15,0,13,,2,2,1,,,,,
2829685,1,14,,1,1,0,0,0,0,1,3,,1,1,15,0,24,,,2,0,,,,,
2829695,1,16,,1,1,0,0,1,0,2,1,1,1,3,12,1,33,,,2,0,,,,,
2829703,3,11,7,2,12,0,0,0,0,1,3,3,3,1,15,0,24,8,1,1,1,3,3,1,4,4
2829721,1,14,5,3,1,0,0,0,0,1,3,1,1,2,13,0,13,,,1,1,7,7,1,4,4
2829745,1,14,1,1,1,0,0,1,0,2,3,1,1,2,11,1,91,,,2,1,10,10,1,3,3
2829779,1,7,,1,1,0,1,1,0,3,2,2,1,2,15,1,33,,2,2,5,,,,,
2829778,1,4,,1,1,0,1,0,0,2,3,1,1,3,16,0,94,,2,1,3,,,,,
2829803,1,5,1,3,1,0,0,0,0,1,3,1,1,1,15,0,83,,2,1,0,7,7,1,3,3
2829802,4,5,8,0,8,1,0,0,0,2,3,,3,1,16,0,92,1,4,2,6,10,1,2,1,2
2829824,1,15,,2,1,0,1,1,0,3,2,1,1,2,12,2,33,,,2,0,,,,,
2829861,1,14,,2,1,0,0,1,0,2,2,1,1,2,14,1,42,,,1,0,,,,,
2829868,1,13,,3,1,0,0,0,1,2,3,1,1,1,15,0,24,,3,2,5,,,,,
2829891,1,2,,2,1,0,0,0,0,1,3,4,1,1,,0,,,,2,1,,,,,
2829888,1,5,3,4,1,0,0,0,0,1,3,1,1,1,15,0,23,,2,2,0,7,7,1,3,3
2829903,1,17,,0,13,0,0,1,1,3,2,,3,1,15,1,13,,,2,0,,,,,
2829950,1,16,,2,1,0,0,1,0,2,3,1,1,1,10,1,42,,,2,0,,,,,
2829948,1,15,,2,1,0,0,1,0,2,2,1,1,2,13,2,21,,,1,0,,,,,
2829955,1,1,,4,1,0,0,0,0,1,3,2,1,1,,0,,,,1,0,,,,,
2829959,1,7,8,4,1,0,0,0,0,1,3,1,1,1,15,0,14,,3,2,0,1,1,2,1,2
2829978,1,9,,4,1,0,0,1,0,2,3,6,1,2,14,1,24,,3,2,0,,,,,
2830024,1,9,,0,1,0,1,1,0,3,2,1,1,3,15,2,44,,4,1,0,,,,,
2830021,1,14,,2,1,0,0,0,0,1,3,1,1,3,11,0,24,,,1,0,,,,,
2830040,1,8,4,2,1,0,0,0,0,1,3,1,1,2,14,0,34,,3,1,5,7,7,1,3,3
2830053,1,8,4,2,1,0,0,0,0,1,3,1,1,1,15,0,13,,1,2,1,7,7,1,3,3
2830081,1,13,3,2,1,0,0,1,0,2,2,1,1,3,15,2,22,,2,2,0,7,7,1,4,4
2830121,1,12,8,2,1,0,0,0,0,1,3,1,1,1,11,0,61,,3,2,0,10,1,2,1,2
2830128,1,13,8,3,1,0,0,0,0,1,3,1,1,1,15,0,24,,2,1,0,7,1,2,1,2
2830135,1,7,4,1,1,0,0,0,0,1,3,1,1,2,11,0,93,,4,1,0,6,6,1,4,4
2830132,1,13,4,3,10,0,0,0,0,1,3,1,1,2,15,0,22,,1,1,0,7,7,1,4,4
2830159,1,10,8,2,1,0,0,0,0,1,3,3,1,2,11,0,14,,2,1,1,1,1,2,1,2
2830224,1,14,,3,1,0,0,0,0,1,3,1,1,1,15,0,23,,,2,0,,,,,
2830233,1,15,,4,1,0,0,1,0,2,1,1,1,4,14,2,31,,,1,0,,,,,
2830246,1,18,,2,8,0,0,1,0,2,1,,3,4,16,1,91,,,1,0,,,,,
2830245,1,12,8,2,1,0,0,1,0,2,3,1,1,2,15,1,25,,1,1,0,1,1,2,1,2
2830290,1,6,3,3,1,0,0,0,0,1,3,4,1,2,14,0,31,,3,1,5,7,7,1,3,3
2830322,1,13,3,2,1,0,0,0,0,1,3,1,1,2,15,0,23,,1,2,0,7,7,1,3,3
2830343,1,9,3,2,1,0,0,0,0,1,3,1,1,2,11,0,51,,4,1,3,7,7,1,3,3
2830329,1,15,,1,1,0,0,1,0,2,2,,1,3,10,2,43,,,2,9,,,,,
2830356,1,11,,1,1,0,1,1,0,3,3,1,1,2,15,1,33,,2,2,0,,,,,
